chinese_name,code_name,overridenametextid,nameprefixid,overridepartnerskilltextid,ispal,tribe,bpclass,pictorial_id,zukanindexsuffix,size,rarity,element_1,element_2,genuscategory,organization,weapon,weaponequip,hp,melee_attack,remote_attack,defense,support,craftspeed,being_damage_multiplier,capture_probability,experience_multiplier,price,airresponse,aisightresponse,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,isboss,istowerboss,battlebgm,ignoreleanback,ignoreblowaway,maxfullstomach,fullstomachdecreaserate,foodamount,viewingdistance,viewingangle,hearingrate,noosetrap,nocturnal,biologicalgrade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oilextraction_not_shown_in_game,pharmaceutical,cool_down,carry,pasture,passive_skills
暗魔羊,BOSS_Baphomet_Dark,PAL_NAME_Baphomet_Dark,BOSS_NAME_Baphomet_Dark,PARTNERSKILL_Baphomet_Dark,True,EPalTribeID::Baphomet_Dark,BOSS_Baphomet_Dark,-1,,XL,5,Dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,150,105,85,100,100,20%,70%,10,4870,Boss,,80,160,700,960,320,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1,4,25,90,1,False,True,9,True,True,100,50,580,0,0,0,0,2,0,0,1,0,0,0,2,0,"[<NA>, <NA>, <NA>, <NA>]"
喵丝特,BOSS_Bastet,PAL_NAME_Bastet,BOSS_NAME_Bastet,PARTNERSKILL_Bastet,True,EPalTribeID::Bastet,BOSS_Bastet,-1,,S,1,Dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,70,70,60,70,100,100,40%,70%,10,1000,NotInterested,,52,105,475,550,317,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1,1,25,90,1,False,True,9,False,True,100,50,1480,0,0,0,0,0,0,0,0,0,0,0,0,1,"[<NA>, <NA>, <NA>, <NA>]"
冰丝特,BOSS_Bastet_Ice,PAL_NAME_Bastet_Ice,BOSS_NAME_Bastet_Ice,PARTNERSKILL_Bastet_Ice,True,EPalTribeID::Bastet_Ice,BOSS_Bastet_Ice,-1,,S,2,Ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,70,70,65,70,100,100,20%,70%,10,1010,NotInterested,,52,105,475,550,317,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1,1,25,90,1,False,False,9,False,True,100,50,1440,0,0,0,0,0,0,0,0,0,0,1,0,1,"[<NA>, <NA>, <NA>, <NA>]"
does not appear in the game,BOSS_BeardedDragon,PAL_NAME_BeardedDragon,BOSS_NAME_BeardedDragon,PARTNERSKILL_BeardedDragon,True,EPalTribeID::BeardedDragon,BeardedDragon,-1,,XL,0,Dragon,,EPalGenusCategoryType::Dragon,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,20%,70%,10,9970,Boss,,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,600,1,9,25,90,1,False,False,9,True,True,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
灌木羊,BOSS_BerryGoat,PAL_NAME_BerryGoat,BOSS_NAME_BerryGoat,PARTNERSKILL_BerryGoat,True,EPalTribeID::BerryGoat,BOSS_BerryGoat,-1,,M,3,Leaf,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,100,70,70,90,120,100,40%,70%,10,2510,NotInterested,,70,70,400,550,235,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1,4,25,90,1,False,False,9,False,True,100,50,930,0,0,2,0,0,0,0,0,0,0,0,0,1,"[<NA>, <NA>, <NA>, <NA>]"
烽歌龙,BOSS_BirdDragon,PAL_NAME_BirdDragon,BOSS_NAME_BirdDragon,PARTNERSKILL_BirdDragon,True,EPalTribeID::BirdDragon,BOSS_BirdDragon,-1,,XL,4,Fire,Dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,115,90,100,100,20%,70%,10,4360,Boss,,100,350,700,950,475,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1,6,25,90,1,False,True,9,True,True,150,50,660,1,0,0,0,0,0,0,0,0,0,0,3,0,"[<NA>, <NA>, <NA>, <NA>]"
霜歌龙,BOSS_BirdDragon_Ice,PAL_NAME_BirdDragon_Ice,BOSS_NAME_BirdDragon_Ice,PARTNERSKILL_BirdDragon_Ice,True,EPalTribeID::BirdDragon_Ice,BOSS_BirdDragon_Ice,-1,,XL,5,Ice,Dark,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,120,95,100,100,20%,70%,10,4610,Boss,,100,350,700,950,475,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1,6,25,90,1,False,True,9,True,True,150,50,620,0,0,0,0,0,0,0,0,0,0,2,3,0,"[<NA>, <NA>, <NA>, <NA>]"
混沌骑士,BOSS_BlackCentaur,PAL_NAME_BlackCentaur,BOSS_NAME_BlackCentaur,PARTNERSKILL_BlackCentaur,True,EPalTribeID::BlackCentaur,BOSS_BlackCentaur,-1,,XL,20,Dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,260,100,145,120,100,100,10%,70%,10,8930,Boss,,100,350,900,1600,625,True,False,EPalBattleBGMType::Legend,False,False,600,1,9,25,90,1,False,True,9,False,True,100,50,70,0,0,0,0,0,0,2,2,0,0,0,0,0,"['Legend', 'ElementBoost_Dark_2_PAL', <NA>, <NA>]"
does not appear in the game,BOSS_BlackFurDragon,PAL_NAME_BlackFurDragon,BOSS_NAME_BlackFurDragon,PARTNERSKILL_BlackFurDragon,True,EPalTribeID::BlackFurDragon,BOSS_BlackFurDragon,-1,,XL,10,Dark,Dragon,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,130,100,130,110,100,100,20%,70%,10,8440,Boss,,55,110,560,800,335,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1,8,25,90,1,False,True,9,True,True,100,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"[<NA>, <NA>, <NA>, <NA>]"
异构格里芬,BOSS_BlackGriffon,PAL_NAME_BlackGriffon,BOSS_NAME_BlackGriffon,PARTNERSKILL_BlackGriffon,True,EPalTribeID::BlackGriffon,BOSS_BlackGriffon,-1,,XL,10,Dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,120,130,120,140,90,100,20%,70%,10,9060,Boss,,80,80,850,1300,465,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1,8,25,90,1,False,True,9,False,True,250,50,60,0,0,0,0,0,1,0,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
魔渊龙,BOSS_BlackMetalDragon,PAL_NAME_BlackMetalDragon,BOSS_NAME_BlackMetalDragon,PARTNERSKILL_BlackMetalDragon,True,EPalTribeID::BlackMetalDragon,BOSS_BlackMetalDragon,-1,,XL,9,Dragon,Dark,EPalGenusCategoryType::Monster,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,125,125,100,100,20%,70%,10,8200,Boss,,100,150,600,900,375,True,False,EPalBattleBGMType::FieldBoss,False,False,600,1,9,25,90,1,False,True,9,False,True,300,50,150,0,0,0,0,1,0,0,4,3,0,0,0,0,"['Deffence_up1', <NA>, <NA>, <NA>]"
does not appear in the game,BOSS_BlueberryFairy,PAL_NAME_BlueberryFairy,BOSS_NAME_BlueberryFairy,PARTNERSKILL_BlueberryFairy,True,EPalTribeID::BlueberryFairy,BOSS_BlueberryFairy,-1,,XL,0,Leaf,Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,20%,70%,10,8200,Boss,,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,False,True,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,"[<NA>, <NA>, <NA>, <NA>]"
碧海龙,BOSS_BlueDragon,PAL_NAME_BlueDragon,BOSS_NAME_BlueDragon,PARTNERSKILL_BlueDragon,True,EPalTribeID::BlueDragon,BOSS_BlueDragon,-1,,XL,7,Water,Dragon,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,False,110,70,100,100,100,100,20%,70%,10,5600,Boss,,75,150,600,900,350,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1,6,25,90,1,False,False,9,False,True,100,50,500,0,3,0,0,0,0,0,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
冲浪鸭,BOSS_BluePlatypus,PAL_NAME_BluePlatypus,BOSS_NAME_Blueplatypus,PARTNERSKILL_BluePlatypus,True,EPalTribeID::Blueplatypus,BOSS_Blueplatypus,-1,,M,1,Water,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,60,80,80,60,100,100,40%,77%,10,1120,NotInterested,,70,105,300,400,202,True,False,EPalBattleBGMType::FieldBoss,False,False,150,1,2,25,90,1,False,False,9,False,True,100,50,1330,0,1,0,0,1,0,0,0,0,0,0,1,0,"[<NA>, <NA>, <NA>, <NA>]"
草莽猪,BOSS_Boar,PAL_NAME_Boar,BOSS_NAME_Boar,PARTNERSKILL_Boar,True,EPalTribeID::Boar,BOSS_Boar,-1,,XL,1,Earth,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,80,100,70,70,100,100,40%,70%,10,1610,Boss,,70,150,450,800,300,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,True,True,100,50,1130,0,0,0,0,0,0,0,1,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
does not appear in the game,BOSS_BrownRabbit,PAL_NAME_BrownRabbit,BOSS_NAME_BrownRabbit,PARTNERSKILL_BrownRabbit,True,EPalTribeID::BrownRabbit,BOSS_BrownRabbit,-1,,XL,0,Earth,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,20%,70%,10,2350,Boss,,-1,-1,-1,-1,-1,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,False,True,100,50,0,0,0,0,0,2,2,0,1,1,0,0,1,0,"[<NA>, <NA>, <NA>, <NA>]"
企丸王,BOSS_CaptainPenguin,PAL_NAME_CaptainPenguin,BOSS_NAME_CaptainPenguin,PARTNERSKILL_CaptainPenguin,True,EPalTribeID::CaptainPenguin,BOSS_CaptainPenguin,-1,,XL,6,Water,Ice,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,70,95,95,100,100,40%,70%,10,5410,Boss,,50,110,450,600,280,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1,8,25,90,1,False,False,9,False,True,100,50,520,0,2,0,0,2,0,0,2,0,0,2,2,0,"[<NA>, <NA>, <NA>, <NA>]"
green leaf rat,BOSS_Carbunclo,PAL_NAME_Carbunclo,BOSS_NAME_Carbunclo,PARTNERSKILL_Carbunclo,True,EPalTribeID::Carbunclo,BOSS_Carbunclo,-1,,S,1,Leaf,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,75,70,70,70,100,100,40%,63%,10,1010,NotInterested,,20,40,400,550,250,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1,1,25,90,1,False,False,9,False,True,100,50,1430,0,0,1,0,1,1,1,0,0,1,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
cat bat monster,BOSS_CatBat,PAL_NAME_CatBat,BOSS_NAME_CatBat,PARTNERSKILL_CatBat,True,EPalTribeID::CatBat,BOSS_CatBat,-1,,XL,5,Dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,95,100,95,80,100,100,40%,70%,10,3810,Boss,,80,140,400,550,270,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,True,9,False,True,100,50,750,0,0,0,0,0,2,0,2,0,0,0,2,0,"[<NA>, <NA>, <NA>, <NA>]"
dark witch cat,BOSS_CatMage,PAL_NAME_CatMage,BOSS_NAME_CatMage,PARTNERSKILL_CatMage,True,EPalTribeID::CatMage,BOSS_CatMage,-1,,XL,6,Dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,105,90,100,100,20%,70%,10,4120,Boss,,70,145,440,620,292,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,True,9,False,True,100,50,700,0,0,0,0,2,0,0,0,0,2,0,2,0,"[<NA>, <NA>, <NA>, <NA>]"
Night Mephit,BOSS_CatVampire,PAL_NAME_CatVampire,BOSS_NAME_CatVampire,PARTNERSKILL_CatVampire,True,EPalTribeID::CatVampire,BOSS_CatVampire,-1,,XL,6,Dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,105,110,110,100,20%,70%,10,2100,Boss,,60,100,550,700,325,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,True,9,False,True,100,50,1010,0,0,0,0,0,0,0,0,0,3,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
Pipi Chicken,BOSS_ChickenPal,PAL_NAME_ChickenPal,BOSS_NAME_ChickenPal,PARTNERSKILL_ChickenPal,True,EPalTribeID::ChickenPal,BOSS_ChickenPal,-1,,M,1,Normal,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,60,70,60,60,100,100,40%,105%,10,1000,NotInterested,,50,50,375,550,212,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1,1,25,90,1,False,False,9,False,True,100,50,1500,0,0,0,0,0,1,0,0,0,0,0,0,1,"[<NA>, <NA>, <NA>, <NA>]"
Fried egg bird,BOSS_ColorfulBird,PAL_NAME_ColorfulBird,BOSS_NAME_ColorfulBird,PARTNERSKILL_ColorfulBird,True,EPalTribeID::ColorfulBird,BOSS_ColorfulBird,-1,,XL,1,Normal,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,60,80,75,70,100,100,40%,70%,10,1090,Boss,,30,60,300,550,170,True,False,EPalBattleBGMType::FieldBoss,False,False,150,1,2,25,90,1,False,False,9,True,True,100,50,1340,0,0,0,0,0,1,0,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
Boba Cow,BOSS_CowPal,PAL_NAME_CowPal,BOSS_NAME_CowPal,PARTNERSKILL_CowPal,True,EPalTribeID::CowPal,BOSS_CowPal,-1,,M,2,Normal,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,90,100,50,80,100,100,20%,70%,10,2620,NotInterested,,55,55,580,700,317,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,False,True,100,20,910,0,0,0,0,0,0,0,0,0,0,0,0,1,"[<NA>, <NA>, <NA>, <NA>]"
幻悦蝶,BOSS_CuteButterfly,PAL_NAME_CuteButterfly,BOSS_NAME_CuteButterfly,PARTNERSKILL_CuteButterfly,True,EPalTribeID::CuteButterfly,BOSS_CuteButterfly,-1,,XL,4,Leaf,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,70,100,80,80,100,100,20%,70%,10,5700,NotInterested,,30,150,550,700,350,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1,3,25,90,1,False,False,9,False,True,100,50,490,0,0,2,0,0,0,0,0,0,1,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
玉藻狐,BOSS_CuteFox,PAL_NAME_CuteFox,BOSS_NAME_CuteFox,PARTNERSKILL_CuteFox,True,EPalTribeID::CuteFox,BOSS_CuteFox,-1,,M,2,Normal,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,70,70,70,70,140,100,40%,91%,10,1000,NotInterested,,30,60,350,450,190,True,False,EPalBattleBGMType::FieldBoss,False,False,100,1,1,25,90,1,False,False,9,False,True,100,50,1450,0,0,0,0,0,1,0,0,0,0,0,0,1,"[<NA>, <NA>, <NA>, <NA>]"
遁地鼠,BOSS_CuteMole,PAL_NAME_CuteMole,BOSS_NAME_CuteMole,PARTNERSKILL_CuteMole,True,EPalTribeID::CuteMole,BOSS_CuteMole,-1,,M,1,Earth,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,65,100,80,50,100,100,40%,70%,10,1360,NotInterested,,30,60,300,550,240,True,False,EPalBattleBGMType::FieldBoss,False,False,150,1,2,25,90,1,False,False,9,False,True,100,50,1220,0,0,0,0,1,0,0,1,0,0,0,1,0,"[<NA>, <NA>, <NA>, <NA>]"
黑鸦隐士,BOSS_DarkCrow,PAL_NAME_DarkCrow,BOSS_NAME_DarkCrow,PARTNERSKILL_DarkCrow,True,EPalTribeID::DarkCrow,BOSS_DarkCrow,-1,,XL,3,Dark,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,75,80,95,80,100,100,20%,70%,10,1840,Boss,,85,170,920,1200,545,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,True,9,True,True,100,50,1080,0,0,0,0,0,0,1,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
does not appear in the game,BOSS_DarkMutant,PAL_NAME_DarkMutant,BOSS_NAME_DarkMutant,PARTNERSKILL_DarkMutant,True,EPalTribeID::DarkMutant,BOSS_DarkMutant,-1,,XL,5,Dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,20%,70%,10,3960,Boss,,100,150,550,700,350,True,False,EPalBattleBGMType::FieldBoss,False,False,525,1,8,25,90,1,False,True,9,False,True,100,50,0,0,0,0,0,3,0,0,0,0,3,0,2,0,"[<NA>, <NA>, <NA>, <NA>]"
冥铠蝎,BOSS_DarkScorpion,PAL_NAME_DarkScorpion,BOSS_NAME_DarkScorpion,PARTNERSKILL_DarkScorpion,True,EPalTribeID::DarkScorpion,BOSS_DarkScorpion,-1,,XL,9,Dark,Earth,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,130,100,100,20%,70%,10,7050,Boss,,100,200,1000,1200,600,True,False,EPalBattleBGMType::FieldBoss,False,False,475,1,7,25,90,1,False,True,9,True,True,100,50,260,0,0,0,0,0,0,2,3,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
紫霞鹿,BOSS_Deer,PAL_NAME_Deer,BOSS_NAME_Deer,PARTNERSKILL_Deer,True,EPalTribeID::Deer,BOSS_Deer,-1,,XL,4,Normal,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,95,70,80,80,100,100,40%,70%,10,2620,Boss,,80,120,700,1000,390,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,False,9,False,True,100,50,920,0,0,0,0,0,0,2,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
祇岳鹿,BOSS_Deer_Ground,PAL_NAME_Deer_Ground,BOSS_NAME_Deer_Ground,PARTNERSKILL_Deer_Ground,True,EPalTribeID::Deer_Ground,BOSS_Deer_Ground,-1,,XL,6,Earth,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,95,70,80,80,100,100,20%,70%,10,2680,Boss,,80,120,700,1000,390,True,False,EPalBattleBGMType::FieldBoss,False,False,350,1,5,25,90,1,False,False,9,False,True,100,50,900,0,0,0,0,0,0,2,0,0,0,0,0,0,"[<NA>, <NA>, <NA>, <NA>]"
