id,english_name,chinese_name,volume_size,food_intake,night_shift,total_skills,make_a_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,pasture,carry,handling_speed,ranch_items,pasture_minimum_output,the_largest_ranch_rank_partner_skill_level
81,Kelpsea Ignis,Huo Linger,smallest,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
81,Kelpsea,Shui Linger,smallest,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,
82,Azurobe,Bihailong,big,6,,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,
83,Cryolinx,Ice Thorn Beast,big,7,,6,0,0,0,0,1,0,2,0,0,3,0,0,,,,
84,Blazehowl,Hellfire King,big,7,,5,3,0,0,0,0,0,2,0,0,0,0,0,,,,
84,Blazehowl Noct,Hell King,big,7,,5,3,0,0,0,0,0,2,0,0,0,0,0,,,,
85,Relaxaurus,Pecorone,maximum,7,,3,0,2,0,0,0,0,0,0,0,0,0,1,150.0,,,
85,Relaxaurus Lux,Parker,maximum,7,,4,0,0,0,3,0,0,0,0,0,0,0,1,150.0,,,
86,Broncherry,Lian Lilong,maximum,7,,3,0,0,3,0,0,0,0,0,0,0,0,0,,,,
86,Broncherry Aqua,Allother,maximum,7,,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,
87,Petallia,Hualina,medium,3,,10,0,0,3,0,2,2,0,0,2,0,0,1,350.0,,,
88,Reptyro,Lava Beast,big,5,,6,3,0,0,0,0,0,0,3,0,0,0,0,,,,
88,Ice Reptyro,Frost Beast,big,5,,6,0,0,0,0,0,0,0,3,0,3,0,0,,,,
89,Kingpaca,King Melupa,maximum,7,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
89,Ice Kingpaca,Ice Emperor Melpa,maximum,7,,4,0,0,0,0,0,1,0,0,0,3,0,0,,,,
90,Mammorest,Mammoth,maximum,8,,6,0,0,2,0,0,0,2,2,0,0,0,0,,,,
90,Mammorest Cryst,snow mammoth,maximum,8,,6,0,0,0,0,0,0,2,2,0,2,0,0,,,,
91,Wumpo Botan,Green Moss Velvet,big,8,,10,0,0,1,0,2,0,3,0,0,0,0,4,150.0,,,
91,Wumpo,White Velvet Snow Monster,big,8,,11,0,0,0,0,2,0,3,0,0,2,0,4,150.0,,,
92,Warsect,Kaigres,big,6,,8,0,0,1,0,1,0,3,0,0,0,0,3,110.0,,,
93,Fenglope,Cloud sea deer,Small,6,,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,
94,Felbat,Night Mephit,medium,5,,3,0,0,0,0,0,0,0,0,3,0,0,0,,,,
95,Quivern,Tianyulong,big,4,,8,0,0,0,0,1,2,0,2,0,0,0,3,470.0,,,
96,Blazamut,Flame Glory,maximum,9,,7,3,0,0,0,0,0,0,4,0,0,0,0,,,,
97,Helzephyr,Thunderbird,big,8,,3,0,0,0,0,0,0,0,0,0,0,0,3,450.0,,,
98,Astegon,Demon Dragon,maximum,9,,5,0,0,0,0,1,0,0,4,0,0,0,0,,,,
99,Menasting,Dark Armored Scorpion,big,7,,5,0,0,0,0,0,0,2,3,0,0,0,0,,,,
100,Anubis,Anubis,medium,6,,9,0,0,0,0,4,0,0,3,0,0,0,2,480.0,,,
101,Jormuntide Ignis,Teng Yanlong,maximum,7,,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,
101,Jormuntide,Sea-covering dragon,maximum,7,,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,
102,Suzaku,Suzaku,maximum,8,,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,
102,Suzaku Aqua,Qingque,maximum,8,,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,
103,Grizzbolt,Lightning Bear,big,7,,10,0,0,0,3,2,0,2,0,0,0,0,3,210.0,,,
104,Lyleen,lily queen,big,6,,12,0,0,4,0,3,2,0,0,3,0,0,0,,,,
104,Lyleen Noct,black moon queen,big,6,,8,0,0,0,0,3,2,0,0,3,0,0,0,,,,
105,Faleris,Horus,big,8,,6,3,0,0,0,0,0,0,0,0,0,0,3,500.0,,,
106,Orserk,Pollux,big,7,,9,0,0,0,4,2,0,0,0,0,0,0,3,250.0,,,
107,Shadowbeak,Heterogeneous Griffin,big,8,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
108,Paladius,Knight of Light,big,9,,4,0,0,0,0,0,0,2,2,0,0,0,0,,,,
109,Necromus,Chaos Knight,big,9,,4,0,0,0,0,0,0,2,2,0,0,0,0,,,,
110,Frostallion,Winter Caller,big,7,,4,0,0,0,0,0,0,0,0,0,4,0,0,,,,
110,Frostallion Noct,Night Caller,big,7,,4,0,0,0,0,0,4,0,0,0,0,0,0,,,,
111,Jetragon,Vortex Dragon,maximum,9,,3,0,0,0,0,0,3,0,0,0,0,0,0,,,,
